"identifiant","pays","poids","csp","csp_père","csp_mère","education","education_pere","education_mere","genre","age","csp_avec_A","mobilite","age_cat"
3440,"AT",0.30276957,"OQ","OQ","ONQ",3,2,2,1,23,"C","OQ_OQ_M","14-25"
3441,"AT",0.48132667,"PI","PI","66",3,2,2,1,48,"PI","PI_PI_M","41-65"
3443,"AT",0.30276957,"C","PI","66",3,3,3,1,34,"C","C_PI_M","26-40"
3444,"AT",0.13284959,"C","OQ","66",3,2,2,1,61,"C","C_OQ_M","41-65"
3445,"AT",0.45415437,"OQ","C","C",3,5,5,1,18,"OQ","OQ_C_M","14-25"
3446,"AT",0.26569918,"C","OQ","66",3,2,2,1,61,"C","C_OQ_M","41-65"
3447,"CZ",0.32971957,"OQ","ONQ","ONQ",2,2,2,1,76,"OQ","OQ_ONQ_M",">65"
3448,"CZ",2.025665,"OQ","PI","PI",3,3,3,1,51,"A","OQ_PI_M","41-65"
3450,"AT",0.0942672,"OQ","PI","PI",5,3,3,2,49,"C","OQ_PI_F","41-65"
3451,"CZ",0.31628242,"OQ","ONQ","PI",3,2,3,2,53,"OQ","OQ_PI_F","41-65"
3454,"AT",0.5341093,"OQ","66","ONQ",2,2,2,2,55,"OQ","OQ_ONQ_F","41-65"
3459,"FI",0.19437088,"OQ","OQ","OQ",1,1,1,1,75,"OQ","OQ_OQ_M",">65"
3460,"AT",0.37001222,"C","PI","PI",5,3,2,1,62,"C","C_PI_M","41-65"
3461,"AT",0.09978417,"OQ","ONQ","ONQ",3,2,2,2,40,"C","OQ_ONQ_F","26-40"
3462,"AT",0.27515912,"OQ","C","C",5,5,5,2,31,"C","OQ_C_F","26-40"
3463,"AT",0.204661,"PI","C","C",5,5,3,2,52,"PI","PI_C_F","41-65"
3464,"AT",0.204661,"PI","C","PI",5,4,3,2,39,"PI","PI_PI_F","26-40"
3465,"CZ",0.18902476,"C","ONQ","ONQ",5,3,3,1,66,"C","C_ONQ_M",">65"
3470,"AT",0.39915484,"PI","C","C",3,4,4,2,53,"PI","PI_C_F","41-65"
3472,"CZ",0.43766242,"ONQ","PI","PI",3,3,3,2,53,"ONQ","ONQ_PI_F","41-65"
3473,"AT",0.2884262,"OQ","OQ","OQ",3,3,2,1,73,"C","OQ_OQ_M",">65"
3474,"AT",0.16431881,"C","C","66",3,4,4,1,24,"C","C_C_M","14-25"
3476,"AT",0.3837559,"PI","C","PI",5,4,2,1,38,"PI","PI_C_M","26-40"
3478,"AT",0.2884262,"C","C","66",3,3,2,1,62,"C","C_C_M","41-65"
3479,"AT",0.2612489,"PI","ONQ","66",3,2,2,1,41,"PI","PI_ONQ_M","41-65"
3481,"AT",0.38647166,"C","OQ","66",3,2,2,1,41,"C","C_OQ_M","41-65"
3483,"AT",0.09842373,"OQ","OQ","OQ",3,2,3,2,45,"C","OQ_OQ_F","41-65"
3485,"AT",0.19682932,"PI","OQ","C",3,3,3,2,47,"PI","PI_C_F","41-65"
3487,"AT",0.28444174,"PI","OQ","66",3,3,2,1,60,"PI","PI_OQ_M","41-65"
3488,"AT",0.39367676,"OQ","OQ","PI",3,2,3,2,40,"C","OQ_PI_F","26-40"
3489,"AT",0.1603252,"OQ","OQ","PI",3,2,3,2,62,"C","OQ_PI_F","41-65"
3490,"AT",0.18448062,"C","66","ONQ",5,2,3,2,61,"C","C_ONQ_F","41-65"
3492,"AT",0.10668632,"ONQ","C","66",2,5,2,1,61,"ONQ","ONQ_C_M","41-65"
3495,"AT",0.37845454,"C","PI","PI",5,3,3,1,35,"C","C_PI_M","26-40"
3496,"AT",0.14223398,"OQ","PI","PI",3,3,2,1,56,"OQ","OQ_PI_M","41-65"
3497,"AT",0.25763988,"PI","OQ","OQ",3,2,2,1,44,"PI","PI_OQ_M","41-65"
3498,"AT",0.3027599,"C","C","C",5,5,5,2,39,"C","C_C_F","26-40"
3500,"AT",0.28444174,"OQ","C","66",3,3,2,1,57,"OQ","OQ_C_M","41-65"
3503,"AT",0.14223398,"OQ","OQ","66",3,2,2,1,80,"C","OQ_OQ_M",">65"
3505,"AT",0.28444174,"C","ONQ","66",3,1,1,1,60,"C","C_ONQ_M","41-65"
3508,"AT",0.5153035,"PI","C","66",3,5,2,1,48,"PI","PI_C_M","41-65"
3509,"AT",0.14223398,"OQ","C","66",3,3,3,1,73,"C","OQ_C_M",">65"
3511,"AT",0.28444174,"C","OQ","66",3,2,2,1,82,"C","C_OQ_M",">65"
3512,"AT",0.1603252,"PI","OQ","OQ",3,3,2,2,80,"PI","PI_OQ_F",">65"
3514,"AT",0.1288318,"OQ","OQ","OQ",3,2,2,1,36,"C","OQ_OQ_M","26-40"
3515,"AT",0.28444174,"C","ONQ","66",3,2,2,1,62,"C","C_ONQ_M","41-65"
3516,"AT",0.37845454,"C","C","OQ",5,4,3,1,43,"C","C_C_M","41-65"
3518,"AT",0.10392084,"PI","PI","OQ",5,2,2,2,35,"PI","PI_OQ_F","26-40"
3520,"AT",0.12898515,"C","OQ","ONQ",2,2,2,1,38,"C","C_OQ_M","26-40"
3521,"CH",0.14349873,"OQ","OQ","ONQ",2,2,2,2,59,"C","OQ_ONQ_F","41-65"
3522,"AT",0.26528525,"PI","ONQ","OQ",3,2,3,1,43,"PI","PI_ONQ_M","41-65"
3523,"AT",0.2928825,"OQ","ONQ","66",3,1,1,1,81,"C","OQ_ONQ_M",">65"
3525,"FI",0.2648011,"C","C","ONQ",5,5,1,1,39,"C","C_C_M","26-40"
3527,"CZ",0.43766242,"ONQ","OQ","OQ",3,3,2,2,45,"ONQ","ONQ_OQ_F","41-65"
3529,"CZ",1.22345,"OQ","66","ONQ",3,3,2,2,27,"OQ","OQ_ONQ_F","26-40"
3530,"AT",0.28776208,"ONQ","ONQ","66",2,1,1,1,29,"ONQ","ONQ_ONQ_M","26-40"
3531,"AT",0.431656,"ONQ","OQ","PI",2,3,2,1,19,"ONQ","ONQ_OQ_M","14-25"
3532,"AT",0.50063324,"OQ","ONQ","66",3,2,2,1,22,"OQ","OQ_ONQ_M","14-25"
3534,"AT",0.21512486,"PI","C","C",5,5,5,1,33,"PI","PI_C_M","26-40"
3535,"CH",0.40146998,"OQ","OQ","ONQ",2,3,1,1,19,"OQ","OQ_OQ_M","14-25"
3537,"FI",0.25974965,"OQ","OQ","66",3,1,1,1,51,"OQ","OQ_OQ_M","41-65"
3538,"AT",0.431656,"OQ","ONQ","66",2,2,2,1,23,"OQ","OQ_ONQ_M","14-25"
3541,"CZ",0.24571733,"OQ","PI","PI",3,3,3,2,45,"OQ","OQ_PI_F","41-65"
3544,"AT",0.20782308,"OQ","PI","C",5,3,3,2,46,"OQ","OQ_C_F","41-65"
3545,"CZ",0.48975083,"C","OQ","OQ",5,3,2,2,34,"C","C_OQ_F","26-40"
3548,"AT",0.1668877,"PI","C","66",3,5,4,1,31,"PI","PI_C_M","26-40"
3549,"CZ",0.43935895,"C","C","PI",5,5,3,2,30,"C","C_PI_F","26-40"
3551,"AT",0.25798184,"ONQ","OQ","66",1,1,1,1,44,"ONQ","ONQ_OQ_M","41-65"
3552,"AT",0.1326545,"OQ","OQ","66",3,2,2,1,39,"A","OQ_OQ_M","26-40"
3554,"CZ",0.6088165,"PI","OQ","OQ",3,2,2,2,56,"PI","PI_OQ_F","41-65"
3558,"CZ",0.6006608,"OQ","ONQ","ONQ",3,2,2,1,52,"C","OQ_ONQ_M","41-65"
3559,"AT",0.39919817,"PI","ONQ","66",3,2,2,1,51,"PI","PI_ONQ_M","41-65"
3560,"CZ",0.30473801,"PI","ONQ","OQ",3,3,2,1,63,"PI","PI_ONQ_M","41-65"
3562,"CZ",0.33668375,"C","C","66",5,5,3,1,65,"C","C_C_M","41-65"
3563,"CH",0.2302905,"OQ","OQ","66",3,2,2,1,42,"OQ","OQ_OQ_M","41-65"
3564,"CZ",0.44292262,"OQ","OQ","PI",3,3,3,1,70,"OQ","OQ_OQ_M",">65"
3567,"FI",0.1815864,"OQ","OQ","OQ",1,1,1,1,73,"A","OQ_OQ_M",">65"
3568,"AT",0.13305813,"OQ","OQ","OQ",3,2,2,1,39,"OQ","OQ_OQ_M","26-40"
3569,"AT",0.24819492,"OQ","C","C",3,3,4,2,20,"C","OQ_C_F","14-25"
3573,"AT",0.3723145,"OQ","PI","PI",3,3,3,2,20,"C","OQ_PI_F","14-25"
3574,"CZ",0.49149087,"OQ","88","ONQ",3,3,3,2,42,"OQ","OQ_ONQ_F","41-65"
3575,"AT",0.8631562,"OQ","C","C",5,4,4,1,23,"C","OQ_C_M","14-25"
3578,"AT",0.49641198,"OQ","ONQ","ONQ",3,1,1,2,19,"C","OQ_ONQ_F","14-25"
3580,"AT",0.2084741,"PI","66","C",5,2,2,2,40,"PI","PI_C_F","26-40"
3581,"CZ",0.5133074,"OQ","ONQ","OQ",3,3,3,1,60,"OQ","OQ_ONQ_M","41-65"
3582,"AT",0.2203723,"OQ","OQ","66",2,2,2,1,57,"C","OQ_OQ_M","41-65"
3583,"CZ",1.3675389,"ONQ","ONQ","OQ",3,3,3,1,31,"ONQ","ONQ_ONQ_M","26-40"
3585,"AT",0.2802857,"C","C","C",5,5,3,2,33,"C","C_C_F","26-40"
3586,"AT",0.19467266,"OQ","OQ","OQ",2,2,2,2,53,"C","OQ_OQ_F","41-65"
3587,"CH",0.21060637,"PI","OQ","OQ",5,3,3,2,46,"PI","PI_OQ_F","41-65"
3588,"CZ",1.1787753,"PI","OQ","ONQ",3,3,2,2,30,"PI","PI_ONQ_F","26-40"
3589,"AT",0.27003396,"PI","OQ","66",3,3,2,1,51,"PI","PI_OQ_M","41-65"
3593,"AT",0.19978161,"C","PI","ONQ",2,2,2,2,59,"C","C_ONQ_F","41-65"
3594,"AT",0.19753855,"OQ","OQ","ONQ",2,2,2,2,40,"OQ","OQ_ONQ_F","26-40"
3598,"AT",0.09877796,"ONQ","66","ONQ",2,2,2,2,53,"ONQ","ONQ_ONQ_F","41-65"
3599,"AT",0.29812518,"OQ","PI","66",3,3,2,1,59,"OQ","OQ_PI_M","41-65"
3600,"AT",0.39666054,"OQ","C","PI",5,5,2,1,51,"C","OQ_C_M","41-65"
3601,"ES",2.134937,"ONQ","OQ","66",4,1,1,1,23,"ONQ","ONQ_OQ_M","14-25"
3603,"AT",0.13502884,"OQ","PI","ONQ",3,3,3,1,53,"OQ","OQ_PI_M","41-65"
3606,"AT",0.21154319,"C","C","C",5,5,5,2,37,"C","C_C_F","26-40"
3607,"ES",2.8814645,"C","C","C",5,5,5,2,31,"C","C_C_F","26-40"
3609,"ES",1.365243,"OQ","OQ","66",1,1,1,1,57,"OQ","OQ_OQ_M","41-65"
3611,"AT",0.3360447,"ONQ","OQ","C",3,3,4,2,60,"ONQ","ONQ_C_F","41-65"
3612,"AT",0.14907569,"C","OQ","66",3,3,2,1,55,"C","C_OQ_M","41-65"
3614,"AT",0.32457522,"OQ","C","C",3,4,3,1,28,"C","OQ_C_M","26-40"
3616,"AT",0.25088206,"OQ","OQ","66",1,2,1,1,52,"OQ","OQ_OQ_M","41-65"
3617,"AT",0.28483495,"C","PI","66",3,3,3,1,62,"C","C_PI_M","41-65"
3618,"ES",1.7076718,"OQ","OQ","66",1,1,1,1,76,"A","OQ_OQ_M",">65"
3620,"AT",0.55971056,"OQ","C","66",1,1,1,1,18,"OQ","OQ_C_M","14-25"
3622,"CZ",0.35282513,"PI","ONQ","66",3,3,3,1,66,"PI","PI_ONQ_M",">65"
3624,"CH",0.24341027,"C","PI","66",5,3,2,1,57,"C","C_PI_M","41-65"
3627,"CZ",0.25744486,"OQ","OQ","OQ",2,2,2,1,81,"OQ","OQ_OQ_M",">65"
3630,"CH",0.3651154,"OQ","ONQ","66",3,2,2,1,58,"OQ","OQ_ONQ_M","41-65"
3631,"AT",0.12031076,"PI","OQ","OQ",3,3,2,2,34,"PI","PI_OQ_F","26-40"
3635,"AT",0.42725244,"OQ","OQ","66",3,3,2,1,59,"C","OQ_OQ_M","41-65"
3636,"AT",0.3789777,"C","PI","66",5,3,2,1,35,"C","C_PI_M","26-40"
3637,"CZ",0.6565229,"OQ","ONQ","OQ",3,2,2,2,70,"OQ","OQ_OQ_F",">65"
3638,"AT",0.13395055,"C","C","66",3,3,2,1,63,"C","C_C_M","41-65"
3640,"AT",0.05899169,"PI","OQ","OQ",2,2,2,1,45,"PI","PI_OQ_M","41-65"
3641,"AT",0.17184064,"C","C","66",5,5,3,1,74,"C","C_C_M",">65"
3644,"PL",1.9719536,"ONQ","OQ","OQ",3,2,1,2,49,"ONQ","ONQ_OQ_F","41-65"
3645,"AT",0.30197635,"OQ","66","PI",3,2,2,2,63,"C","OQ_PI_F","41-65"
3647,"CZ",0.9442742,"OQ","ONQ","ONQ",3,3,3,2,32,"OQ","OQ_ONQ_F","26-40"
3649,"AT",0.35902375,"OQ","C","PI",2,3,3,2,56,"C","OQ_PI_F","41-65"
3652,"AT",0.15263936,"OQ","OQ","PI",3,2,2,1,26,"C","OQ_OQ_M","26-40"
3654,"CH",0.24341027,"OQ","OQ","66",3,2,2,1,57,"OQ","OQ_OQ_M","41-65"
3656,"AT",0.20094621,"OQ","OQ","ONQ",2,1,2,1,64,"C","OQ_OQ_M","41-65"
3657,"PL",1.4942021,"OQ","PI","OQ",4,3,2,1,48,"OQ","OQ_PI_M","41-65"
3662,"AT",0.19675818,"C","PI","PI",5,2,3,1,25,"C","C_PI_M","14-25"
3663,"CH",0.2302905,"C","C","66",3,3,3,1,54,"C","C_C_M","41-65"
3666,"AT",0.7128938,"PI","C","66",5,4,2,1,45,"PI","PI_C_M","41-65"
3670,"CH",0.29157788,"OQ","OQ","OQ",3,3,3,2,26,"OQ","OQ_OQ_F","26-40"
3672,"CZ",1.1640238,"OQ","PI","PI",3,3,3,1,43,"OQ","OQ_PI_M","41-65"
3674,"AT",0.8857777,"PI","C","OQ",3,5,3,2,30,"PI","PI_OQ_F","26-40"
3677,"ES",1.5231375,"ONQ","ONQ","66",1,1,1,1,79,"ONQ","ONQ_ONQ_M",">65"
3679,"AT",0.13507633,"ONQ","C","66",3,3,3,1,45,"ONQ","ONQ_C_M","41-65"
3680,"AT",0.16993451,"OQ","OQ","PI",3,3,3,1,23,"OQ","OQ_OQ_M","14-25"
3683,"PL",1.662259,"OQ","OQ","OQ",2,2,2,1,35,"A","OQ_OQ_M","26-40"
3684,"AT",0.11185743,"OQ","ONQ","66",2,1,1,1,82,"OQ","OQ_ONQ_M",">65"
3687,"ES",0.85570204,"OQ","ONQ","ONQ",4,2,3,1,19,"OQ","OQ_ONQ_M","14-25"
3692,"AT",0.19841747,"C","C","66",5,5,3,1,46,"C","C_C_M","41-65"
3693,"CH",0.2302905,"PI","OQ","66",3,3,1,1,42,"PI","PI_OQ_M","41-65"
3698,"AT",0.33989888,"PI","C","PI",3,3,3,1,28,"PI","PI_C_M","26-40"
3699,"CZ",1.5861709,"OQ","PI","PI",3,3,3,2,25,"C","OQ_PI_F","14-25"
3701,"CZ",0.3453147,"ONQ","PI","PI",2,1,1,2,74,"ONQ","ONQ_PI_F",">65"
3704,"AT",0.22373453,"OQ","OQ","66",2,2,2,1,73,"OQ","OQ_OQ_M",">65"
3705,"CH",0.24341027,"C","ONQ","66",3,2,2,1,68,"C","C_ONQ_M",">65"
3709,"CZ",0.38338688,"OQ","OQ","66",3,2,2,1,68,"OQ","OQ_OQ_M",">65"
3712,"AT",0.19131143,"PI","PI","66",5,4,2,1,76,"PI","PI_PI_M",">65"
3717,"PL",1.7833805,"C","OQ","OQ",3,2,2,1,47,"C","C_OQ_M","41-65"
3720,"AT",0.16993451,"C","OQ","66",3,3,3,1,32,"C","C_OQ_M","26-40"
3723,"AT",0.17609613,"C","66","OQ",3,1,1,2,43,"C","C_OQ_F","41-65"
3724,"PL",1.0721009,"C","PI","C",5,4,5,2,36,"C","C_C_F","26-40"
3731,"AT",0.17609613,"PI","66","OQ",3,2,2,2,45,"PI","PI_OQ_F","41-65"
3732,"AT",0.090286694,"OQ","PI","ONQ",5,2,2,2,36,"C","OQ_ONQ_F","26-40"
3734,"AT",0.08804806,"PI","OQ","OQ",3,2,3,2,54,"PI","PI_OQ_F","41-65"
3736,"AT",0.45141488,"C","PI","ONQ",5,2,2,2,48,"C","C_ONQ_F","41-65"
3742,"AT",0.17051873,"OQ","66","ONQ",2,2,2,2,78,"OQ","OQ_ONQ_F",">65"
3744,"CZ",0.9158859,"ONQ","OQ","OQ",3,3,3,2,21,"ONQ","ONQ_OQ_F","14-25"
3745,"CZ",1.3737767,"ONQ","66","OQ",3,1,2,2,34,"ONQ","ONQ_OQ_F","26-40"
3749,"PL",1.5500653,"ONQ","ONQ","66",3,2,2,1,71,"ONQ","ONQ_ONQ_M",">65"
3750,"AT",0.23050113,"C","OQ","66",3,3,2,1,42,"C","C_OQ_M","41-65"
3751,"PL",1.6295545,"OQ","OQ","66",3,3,2,1,24,"OQ","OQ_OQ_M","14-25"
3752,"AT",0.107489124,"C","PI","OQ",3,2,2,2,34,"C","C_OQ_F","26-40"
3753,"AT",0.23050113,"OQ","C","PI",3,3,3,1,53,"OQ","OQ_C_M","41-65"
3755,"AT",0.11207267,"OQ","PI","OQ",2,2,2,1,48,"C","OQ_PI_M","41-65"
3761,"CH",0.460581,"C","OQ","66",3,2,2,1,51,"C","C_OQ_M","41-65"
3762,"CH",0.29157788,"C","ONQ","ONQ",3,1,1,2,33,"C","C_ONQ_F","26-40"
3763,"PL",1.6386672,"C","C","C",5,5,5,1,35,"C","C_C_M","26-40"
3766,"CZ",1.5889293,"OQ","OQ","PI",2,3,3,1,18,"OQ","OQ_OQ_M","14-25"
3768,"CZ",0.9489121,"OQ","C","OQ",3,2,3,2,48,"C","OQ_OQ_F","41-65"
3770,"AT",0.23050113,"PI","PI","C",3,3,3,1,40,"PI","PI_PI_M","26-40"
3771,"CH",0.2302905,"PI","OQ","66",5,3,3,1,41,"PI","PI_OQ_M","41-65"
3772,"AT",0.16929483,"PI","C","OQ",5,5,2,1,36,"PI","PI_C_M","26-40"
3774,"AT",0.33858967,"PI","C","PI",5,3,2,1,42,"PI","PI_C_M","41-65"
3776,"AT",0.107489124,"OQ","C","OQ",3,3,3,2,32,"C","OQ_OQ_F","26-40"
3777,"PL",1.1447424,"OQ","OQ","OQ",3,1,1,1,48,"OQ","OQ_OQ_M","41-65"
3778,"AT",0.11207267,"OQ","OQ","66",2,2,2,1,47,"OQ","OQ_OQ_M","41-65"
3780,"AT",0.12501541,"ONQ","OQ","66",2,2,2,1,20,"ONQ","ONQ_OQ_M","14-25"
3781,"PL",1.8455805,"ONQ","OQ","OQ",1,1,1,2,66,"ONQ","ONQ_OQ_F",">65"
3782,"PL",1.307569,"ONQ","66","PI",3,3,3,2,28,"ONQ","ONQ_PI_F","26-40"
3785,"PL",1.7974205,"C","ONQ","OQ",5,2,3,2,43,"C","C_OQ_F","41-65"
3786,"LU",0.024812644,"OQ","ONQ","66",1,1,1,1,64,"OQ","OQ_ONQ_M","41-65"
3787,"CH",0.28699747,"ONQ","ONQ","ONQ",3,2,2,2,59,"ONQ","ONQ_ONQ_F","41-65"
3788,"PL",1.0669483,"C","OQ","C",5,3,3,2,33,"C","C_C_F","26-40"
3790,"PL",1.7974205,"OQ","OQ","OQ",2,2,2,2,44,"A","OQ_OQ_F","41-65"
3793,"AT",0.088498905,"OQ","OQ","ONQ",2,3,2,1,59,"OQ","OQ_OQ_M","41-65"
3795,"AT",0.26601693,"OQ","OQ","ONQ",3,3,3,2,57,"OQ","OQ_ONQ_F","41-65"
3796,"AT",0.3140011,"PI","OQ","66",5,2,3,1,45,"PI","PI_OQ_M","41-65"
3798,"AT",0.106869146,"PI","OQ","PI",3,3,3,1,37,"PI","PI_OQ_M","26-40"
3799,"AT",0.088498905,"OQ","OQ","66",2,2,2,1,62,"OQ","OQ_OQ_M","41-65"
3800,"AT",0.10393389,"OQ","ONQ","ONQ",2,1,2,1,37,"OQ","OQ_ONQ_M","26-40"
3801,"AT",0.16330793,"ONQ","PI","ONQ",3,2,2,2,52,"ONQ","ONQ_ONQ_F","41-65"
3802,"AT",0.106869146,"OQ","OQ","OQ",3,2,3,1,41,"OQ","OQ_OQ_M","41-65"
3809,"PL",2.029224,"PI","ONQ","ONQ",4,3,3,2,36,"PI","PI_ONQ_F","26-40"
3810,"AT",0.19936642,"OQ","C","OQ",3,2,3,2,28,"C","OQ_OQ_F","26-40"
3811,"AT",0.26601693,"OQ","OQ","ONQ",3,2,2,2,60,"C","OQ_ONQ_F","41-65"
3812,"AT",0.19936642,"PI","C","C",3,5,5,2,24,"PI","PI_C_F","14-25"
3813,"CH",0.40146998,"C","C","66",3,5,2,1,21,"C","C_C_M","14-25"
3815,"AT",0.21376203,"OQ","OQ","66",3,3,2,1,42,"A","OQ_OQ_M","41-65"
3820,"AT",0.21376203,"OQ","OQ","OQ",3,2,2,1,41,"C","OQ_OQ_M","41-65"
3822,"AT",0.21376203,"OQ","PI","66",3,4,2,1,41,"C","OQ_PI_M","41-65"
3825,"AT",0.42752406,"OQ","OQ","66",3,3,2,1,47,"OQ","OQ_OQ_M","41-65"
3828,"AT",0.08164489,"PI","C","OQ",3,5,1,2,41,"PI","PI_OQ_F","41-65"
3829,"AT",0.19936642,"OQ","OQ","ONQ",3,2,2,2,34,"C","OQ_ONQ_F","26-40"
3833,"CH",0.11514525,"PI","PI","66",5,3,3,1,40,"PI","PI_PI_M","26-40"
3834,"AT",0.1329937,"OQ","OQ","C",3,3,3,2,56,"C","OQ_C_F","41-65"
3836,"AT",0.16330793,"PI","OQ","OQ",3,3,2,2,35,"PI","PI_OQ_F","26-40"
3837,"AT",0.21376203,"PI","PI","66",3,3,3,1,36,"PI","PI_PI_M","26-40"
3839,"AT",0.24495281,"PI","OQ","OQ",3,3,2,2,42,"PI","PI_OQ_F","41-65"
3840,"AT",0.17701748,"OQ","OQ","OQ",2,2,2,1,60,"OQ","OQ_OQ_M","41-65"
3841,"AT",0.20820205,"OQ","C","C",3,4,4,2,31,"C","OQ_C_F","26-40"
3846,"AT",0.25581825,"OQ","C","OQ",3,3,3,2,49,"C","OQ_OQ_F","41-65"
3847,"AT",0.20820205,"OQ","C","C",3,5,5,2,25,"C","OQ_C_F","14-25"
3848,"AT",0.1389032,"PI","PI","PI",3,3,3,2,72,"PI","PI_PI_F",">65"
3849,"CH",0.2302905,"C","C","66",5,5,5,1,40,"C","C_C_M","26-40"
3851,"CH",0.21060637,"PI","PI","OQ",3,3,2,2,42,"PI","PI_OQ_F","41-65"
3852,"AT",0.22323565,"ONQ","ONQ","66",3,2,2,1,44,"ONQ","ONQ_ONQ_M","41-65"
3859,"AT",0.20820205,"PI","C","ONQ",3,2,3,2,34,"PI","PI_ONQ_F","26-40"
3860,"CH",0.21060637,"ONQ","OQ","ONQ",2,2,2,2,35,"ONQ","ONQ_ONQ_F","26-40"
3862,"AT",0.11756093,"C","C","C",5,1,4,2,27,"C","C_C_F","26-40"
3863,"AT",0.36201966,"PI","C","66",5,5,3,1,31,"PI","PI_C_M","26-40"
3864,"LU",0.035999954,"OQ","OQ","OQ",1,1,1,1,54,"OQ","OQ_OQ_M","41-65"
3865,"PL",2.0978215,"OQ","66","ONQ",3,1,1,2,58,"OQ","OQ_ONQ_F","41-65"
3866,"AT",0.25192156,"OQ","66","OQ",2,3,3,2,22,"C","OQ_OQ_F","14-25"
3867,"LU",0.03008064,"C","PI","66",3,3,1,1,72,"C","C_PI_M",">65"
3869,"AT",0.36201966,"PI","C","66",5,5,4,1,33,"PI","PI_C_M","26-40"
3870,"AT",0.111617826,"C","C","66",3,5,3,1,51,"C","C_C_M","41-65"
3873,"AT",0.17488164,"PI","ONQ","ONQ",5,2,2,2,39,"PI","PI_ONQ_F","26-40"
3876,"AT",0.111617826,"PI","OQ","66",3,2,3,1,36,"PI","PI_OQ_M","26-40"
3877,"AT",0.09243132,"OQ","OQ","ONQ",2,3,2,1,55,"OQ","OQ_OQ_M","41-65"
3878,"AT",0.16281013,"OQ","OQ","OQ",2,2,2,1,48,"OQ","OQ_OQ_M","41-65"
3881,"PL",1.7798723,"OQ","OQ","OQ",3,3,3,2,53,"C","OQ_OQ_F","41-65"
3882,"AT",0.18100983,"C","PI","C",5,5,5,1,33,"C","C_PI_M","26-40"
3883,"AT",0.24645852,"PI","OQ","66",3,2,2,1,66,"PI","PI_OQ_M",">65"
3884,"PL",1.229674,"OQ","C","PI",3,5,3,1,54,"OQ","OQ_C_M","41-65"
3886,"AT",0.1705455,"OQ","ONQ","OQ",3,2,2,2,53,"C","OQ_OQ_F","41-65"
3887,"AT",0.18486264,"ONQ","OQ","66",2,2,2,1,62,"ONQ","ONQ_OQ_M","41-65"
3888,"AT",0.23512186,"C","OQ","OQ",5,3,2,2,26,"C","C_OQ_F","26-40"
3891,"CH",0.24341027,"OQ","OQ","66",5,3,2,1,71,"OQ","OQ_OQ_M",">65"
3892,"LU",0.02193038,"PI","PI","66",3,1,1,1,67,"PI","PI_PI_M",">65"
3895,"PL",1.5298622,"C","C","OQ",5,3,2,2,57,"C","C_OQ_F","41-65"
3896,"PL",1.4064201,"C","OQ","PI",5,5,3,1,25,"C","C_OQ_M","14-25"
3900,"PL",1.3568841,"ONQ","OQ","OQ",2,5,3,1,18,"ONQ","ONQ_OQ_M","14-25"
3901,"CH",0.2302905,"C","C","66",5,3,2,1,43,"C","C_C_M","41-65"
3903,"CH",0.11514525,"PI","OQ","OQ",5,3,3,1,45,"PI","PI_OQ_M","41-65"
3906,"PL",0.98609054,"OQ","OQ","OQ",3,2,2,1,56,"OQ","OQ_OQ_M","41-65"
3907,"PL",2.0133731,"PI","ONQ","OQ",5,2,2,1,48,"PI","PI_ONQ_M","41-65"
3908,"LU",0.0281072,"OQ","C","66",2,4,1,1,32,"OQ","OQ_C_M","26-40"
3914,"CH",0.14349873,"C","OQ","OQ",5,2,3,2,73,"C","C_OQ_F",">65"
3923,"PL",1.3063657,"OQ","OQ","OQ",3,2,2,1,60,"OQ","OQ_OQ_M","41-65"
3925,"LU",0.03021414,"OQ","ONQ","ONQ",1,1,1,1,21,"OQ","OQ_ONQ_M","14-25"
3926,"LU",0.028428541,"OQ","ONQ","ONQ",3,1,1,1,23,"C","OQ_ONQ_M","14-25"
3930,"PL",1.6782055,"PI","C","OQ",4,3,3,2,36,"PI","PI_OQ_F","26-40"
3932,"CH",0.3651154,"C","OQ","OQ",3,5,2,1,56,"C","C_OQ_M","41-65"
3934,"LU",0.021914741,"OQ","ONQ","66",3,3,1,1,62,"OQ","OQ_ONQ_M","41-65"
3940,"CH",0.2302905,"C","OQ","66",5,3,2,1,54,"C","C_OQ_M","41-65"
3942,"CH",0.5352933,"OQ","OQ","OQ",2,2,2,1,18,"OQ","OQ_OQ_M","14-25"
3943,"PL",1.1725445,"PI","C","PI",3,5,3,2,49,"PI","PI_PI_F","41-65"
3945,"CH",0.2302905,"OQ","OQ","66",3,3,3,1,38,"OQ","OQ_OQ_M","26-40"
3946,"LU",0.02193038,"C","C","66",3,1,1,1,75,"C","C_C_M",">65"
3949,"PL",1.8651497,"OQ","OQ","OQ",2,2,2,2,48,"OQ","OQ_OQ_F","41-65"
3957,"PL",1.3037606,"OQ","ONQ","ONQ",3,2,3,2,27,"OQ","OQ_ONQ_F","26-40"
3958,"CH",0.29157788,"OQ","PI","PI",3,3,3,2,34,"OQ","OQ_PI_F","26-40"
3965,"CH",0.26764664,"OQ","OQ","66",5,2,2,1,33,"OQ","OQ_OQ_M","26-40"
3967,"PL",1.4415889,"OQ","OQ","66",3,1,1,1,54,"OQ","OQ_OQ_M","41-65"
3969,"CH",0.2302905,"OQ","OQ","66",3,2,2,1,46,"C","OQ_OQ_M","41-65"
