"identifiant","pays","poids","csp","csp_père","csp_mère","education","education_pere","education_mere","genre","age","csp_avec_A","mobilite","mobilite_educ","age_cat"
108308,"GB",2.869252,"2","1","1",2,1,1,2,35,"OQ","OQ_OQ_M","2_1_M","26-40"
108310,"GB",2.869252,"2","1","1",2,1,1,2,39,"OQ","OQ_ONQ_M","2_1_M","26-40"
108312,"GB",3.6176982,"1","1","1",1,1,1,1,24,"OQ","OQ_C_F","1_1_F","14-25"
108313,"GB",3.078868,"5","5","1",5,5,1,2,29,"OQ","OQ_C_M","5_5_M","26-40"
108318,"GB",2.6639712,"3","1","1",3,1,1,1,60,"OQ","OQ_OQ_F","3_1_F","41-65"
108404,"GB",3.078868,"2","1","1",2,1,1,2,29,"OQ","OQ_OQ_M","2_1_M","26-40"
108405,"GB",3.6176982,"5","3","2",5,3,2,1,34,"C","C_PI_F","5_2_F","26-40"
108407,"GB",4.5526743,"3","2","1",3,2,1,1,40,"OQ","OQ_ONQ_F","3_1_F","26-40"
108408,"GB",2.6639712,"5","3","1",5,3,1,1,58,"C","C_OQ_F","5_1_F","41-65"
108409,"GB",3.3071535,"1","1","1",1,1,1,2,68,"ONQ","ONQ_ONQ_M","1_1_M",">65"
108412,"GB",2.6639712,"2","1","1",2,1,1,1,60,"C","C_ONQ_F","2_1_F","41-65"
108413,"GB",3.3071535,"1","1","1",1,1,1,2,66,"OQ","OQ_ONQ_M","1_1_M",">65"
108419,"GB",1.434626,"5","5","1",5,5,1,2,43,"C","C_OQ_M","5_5_M","41-65"
108420,"GB",5.738504,"5","5","5",5,5,5,2,47,"A","OQ_C_M","5_5_M","41-65"
108422,"GB",2.869252,"3","3","2",3,3,2,2,36,"OQ","OQ_C_M","3_3_M","26-40"
108423,"GB",3.0351162,"1","1","1",1,1,1,1,41,"PI","PI_OQ_F","1_1_F","41-65"
108424,"DE",2.5796669,"3","3","3",3,3,3,1,46,"OQ","OQ_ONQ_F","3_3_F","41-65"
108436,"DE",2.2119153,"3","3","2",3,3,2,2,89,"OQ","OQ_OQ_M","3_3_M",">65"
108501,"DE",2.2119153,"3","3","2",3,3,2,2,63,"OQ","OQ_OQ_M","3_3_M","41-65"
108502,"GB",1.6535767,"1","1","1",1,1,1,2,65,"OQ","OQ_ONQ_M","1_1_M","41-65"
108504,"GB",4.3038783,"1","1","1",1,1,1,2,52,"OQ","OQ_C_M","1_1_M","41-65"
108506,"GB",3.078868,"3","1","1",3,1,1,2,32,"C","C_ONQ_M","3_1_M","26-40"
108509,"GB",1.434626,"5","1","1",5,1,1,2,53,"C","C_ONQ_M","5_1_M","41-65"
108510,"GB",4.3038783,"2","1","1",2,1,1,2,54,"OQ","OQ_ONQ_M","2_1_M","41-65"
108513,"DE",2.040583,"3","3","2",3,3,2,2,43,"OQ","OQ_OQ_M","3_3_M","41-65"
108515,"GB",3.3071535,"1","1","1",1,1,1,2,62,"PI","PI_ONQ_M","1_1_M","41-65"
108518,"GB",1.6535767,"2","1","1",2,1,1,2,69,"C","C_ONQ_M","2_1_M",">65"
108519,"GB",3.0351162,"5","1","1",5,1,1,1,40,"C","C_ONQ_F","5_1_F","26-40"
108522,"GB",3.0351162,"5","2","5",5,2,5,1,51,"PI","PI_PI_F","5_5_F","41-65"
108524,"GB",2.869252,"2","1","1",2,1,1,2,50,"OQ","OQ_ONQ_M","2_1_M","41-65"
108525,"DE",5.223156,"2","3","2",2,3,2,2,47,"OQ","OQ_ONQ_M","2_3_M","41-65"
108603,"GB",4.6183014,"5","1","2",5,1,2,2,23,"PI","PI_ONQ_M","5_1_M","14-25"
108604,"GB",1.6535767,"2","1","1",2,1,1,2,63,"OQ","OQ_ONQ_M","2_1_M","41-65"
108606,"GB",2.869252,"1","1","2",1,1,2,2,36,"OQ","OQ_ONQ_M","1_1_M","26-40"
108612,"GB",4.6183014,"3","3","1",3,3,1,2,33,"C","C_OQ_M","3_3_M","26-40"
108615,"GB",3.0351162,"1","1","1",1,1,1,1,38,"OQ","OQ_ONQ_F","1_1_F","26-40"
108617,"GB",2.869252,"2","1","1",2,1,1,2,51,"OQ","OQ_ONQ_M","2_1_M","41-65"
108622,"GB",1.434626,"1","1","1",1,1,1,2,52,"PI","PI_OQ_M","1_1_M","41-65"
108623,"GB",2.869252,"2","1","1",2,1,1,2,52,"OQ","OQ_OQ_M","2_1_M","41-65"
108708,"GB",2.869252,"2","1","1",2,1,1,2,40,"C","C_OQ_M","2_1_M","26-40"
108709,"GB",1.539434,"2","1","1",2,1,1,2,25,"OQ","OQ_ONQ_M","2_1_M","14-25"
108721,"GB",1.539434,"2","2","2",2,2,2,2,32,"OQ","OQ_OQ_M","2_2_M","26-40"
108723,"GB",3.6176982,"2","2","2",2,2,2,1,30,"OQ","OQ_ONQ_F","2_2_F","26-40"
108724,"GB",1.539434,"3","2","3",3,2,3,2,27,"C","C_C_M","3_2_M","26-40"
108802,"GB",1.6535767,"1","1","1",1,1,1,2,65,"OQ","OQ_OQ_M","1_1_M","41-65"
